2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=act_as_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=disregard_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | INFO | warned | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:45:07 | INFO | warned | pattern=system_prompt_injection | severity=medium | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:45:07 | INFO | warned | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:45:07 | INFO | warned | pattern=chatml_start | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:45:07 | INFO | warned | pattern=chatml_end | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=allowed_with_warning
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=role_confusion | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_all_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
2025-10-16 09:45:07 | WARNING | blocked | pattern=ignore_instructions | severity=high | subject="(Unknown)" | sender="unknown" | message_id="unknown" | action=blocked_email
